,pl_name,pl_letter,hostname,ra,dec,glon,glat,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_trandep,pl_tranmid,sy_pmdec,sy_plx,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gmag,sy_gaiamag,sy_tmag,pl_controv_flag,st_metratio,st_spectype,sy_kepmag,st_rotp,cb_flag,pl_trandur,pl_rvamp,pl_radj,pl_rade,pl_ratror,pl_ratdor,sy_icmag,dkin_flag,pl_imppar,pl_bmassj,pl_bmasse,pl_bmassprov,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra
382,K2-27 b,b,K2-27,171.5151874,1.2306237,261.02749,56.98688,6.771315,0.06702,0.251,902.0,,116.0,1.87,0.293,2456812.84484,-26.9773,3.97723,249.645,13.556,12.689,11.157,10.794,10.704,15.6142,15.0509,14.6772,13.1397,10.606,10.663,10.534,8.311,15.921,12.4528,11.9186,0,[Fe/H],,12.428,,0,2.802,11.8,0.4,4.48,0.0474,16.5,,0,0.3,0.09722,30.9,Mass,5248.0,0.13,-37.77,2.3,-0.27,4.48,10.3,0.87,2.04,0.89,0,0,1,1,0,0,0,0,0,0,3,1,0,27.1949799,3.43398
383,LTT 3780 c,c,LTT 3780,154.6449033,-11.717801,254.20063,36.30503,12.2519,0.07673,0.06,353.0,,2.63,3.9,0.324,2458546.8484,-247.87,45.4644,21.9814,14.678,13.14,9.007,8.439,8.204001,,,,,8.037,7.88,7.771,7.577,,11.8465,10.5848,0,[Fe/H],M4 V,,104.0,0,1.392,4.44,0.205,2.3,0.057,44.6,,0,0.65,0.02706,8.6,Mass,3331.0,0.28,,1.3,-1.777,4.9,,0.4,9.6,0.37,0,0,1,1,0,0,0,0,0,0,2,2,0,421.9000381,-341.409
384,EPIC 220674823 b,b,EPIC 220674823,13.0800239,10.7947051,123.28442,-52.07644,0.571212,0.01312,0.0,2119.0,,4293.0,8.5,0.02847,2457417.43601,2.2394,4.06029,244.59,12.576,12.101,10.77,10.454,10.344,14.7932,12.0262,11.8122,12.9569,10.299,10.355,10.38,8.423,12.6287,11.9535,11.4574,0,[Fe/H],G5 V,11.958,,0,1.532,6.37,0.143,1.6,0.0157,2.9,,0,0.18,0.02429,7.72,Mass,5613.0,0.01,-15.86,2.62,-0.119,4.6,5.0,0.93,1.35,0.95,0,0,1,1,0,0,0,0,0,0,1,2,0,61.004017,60.9629
385,K2-252 b,b,K2-252,182.3663818,-8.3096141,285.45308,53.13179,13.81513,0.1041,,639.0,,,3.84,0.036,2457596.1901,-22.6784,4.34143,228.839,13.803,12.93,11.236,10.774,10.683,,,,,10.655,10.724,10.755,8.771,,12.6201,12.0482,0,[Fe/H],,12.64,,0,3.6,,0.155,1.74,0.0193,25.7,,0,0.41,0.0116,3.68,M-R relationship,5152.0,-0.09,13.72,2.2,-0.408,4.5,,0.79,2.04024,0.82,0,0,1,0,0,0,0,0,0,0,1,1,0,22.9167594,3.29667
386,WASP-18 b,b,WASP-18,24.3544618,-45.6777937,279.70959,-69.32147,0.94145223,0.02024,0.0051,2429.0,0.0341,5805.0,6.6,1.041,2456740.8056,20.5972,8.06943,123.483,9.854,9.28,8.409,8.231,8.131,,,,,8.075,8.123,8.079001,7.753,,9.16617,8.8287,0,[Fe/H],F6 IV-V,,,0,2.21,1814.0,1.24,13.899,0.1018,3.48,,0,0.36,10.2,3241.84975,Mass,6432.0,0.107,3.2,11.0,0.428,4.31,1.57,1.29,0.795,1.32,1,0,1,1,0,1,0,0,0,0,2,2,0,32.5798036,25.2428
387,WASP-183 b,b,WASP-183,163.7888521,-0.7370663,253.08943,50.52829,4.1117771,0.04632,,1111.0,,268.72,0.21,2.26,2457796.1845,24.0332,3.04488,325.377,13.721,13.081,11.639,11.268,11.207,15.2679,12.9127,12.7579,13.3566,11.168,11.212,11.222,8.701,13.5915,12.8148,12.3353,0,[Fe/H],G9,,,0,2.016,74.8,1.47,16.477,,11.44,,0,0.916,0.502,159.55066,Mass,5313.0,-0.31,68.71,1.0,-0.209,4.45,14.9,0.78,1.68,0.87,0,0,1,1,0,0,0,0,0,0,1,1,0,36.9911608,-28.1203
388,WASP-20 b,b,WASP-20,5.1605621,-23.9357894,55.91524,-82.35676,4.8996284,0.06,0.0,1379.0,,410.16,0.132,1.164,2455715.65562,-18.3,,211.877,11.203,10.675,9.701,9.417,9.39,,,,,9.328,9.364,9.324,8.336,,10.6503,10.248,0,[Fe/H],F9,,,0,3.4032,32.8,1.462,16.388,0.1148,9.28,,0,0.718,0.311,98.841,Mass,5940.0,-0.008,1.32,4.75,0.338,4.23,7.0,1.2,0.63,1.39,0,0,1,1,0,0,0,0,0,0,2,1,0,18.3534738,-1.4
389,WASP-23 b,b,WASP-23,101.1275033,-42.7622296,251.92684,-19.22886,2.9444256,0.0376,0.062,1076.54497534,,317.43,1.17,1.691,2455320.12363,-87.7712,4.79072,207.49,13.418,12.539,10.96,10.514,10.45,,,,,10.414,10.472,10.386,9.084,,12.3208,11.7583,0,[Fe/H],,,,0,2.39424,147.4,0.962,10.783,,,,0,,0.884,280.95,Mass,5150.0,-0.05,5.83,2.2,-0.377,4.56,6.2,0.78,1.84,0.77,0,0,1,1,0,0,0,0,0,0,1,1,0,88.2328996,-9.01449
390,HD 73583 b,b,HD 73583,129.6883026,-13.2565267,237.89791,16.64313,6.398042,0.0604,0.09,714.0,,43.3,2.58,0.150527,2458517.69013,38.3741,31.6501,31.5666,10.742,9.67,7.649,7.092,6.948,,,,,6.85,6.963,6.921,6.723,,9.27033,8.5925,0,[Fe/H],K4 V,,12.2,0,2.143,4.37,0.249,2.79,0.03932,19.98,,0,0.566,0.03209,10.2,Mass,4511.0,0.0,,3.5,-0.76,4.62,0.48,0.73,3.69,0.65,0,0,1,1,0,0,0,0,0,0,1,2,0,74.5013693,-63.8583
391,WASP-70 A b,b,WASP-70 A,315.4771912,-13.4333821,35.19027,-34.92739,3.7130203,0.04853,0.0,1387.0,,,0.499,0.97,2455736.50348,-30.0429,4.46958,222.355,11.747,10.786,9.996,9.714,9.58,,,,,9.325,9.39,9.379,8.231,,11.0323,10.5959,0,[Fe/H],G4,,,0,3.3336,72.3,1.164,13.047,,,,0,0.431,0.59,187.512,Mass,5763.0,-0.006,-65.39,1.8,0.162,4.31,9.5,1.11,0.872,1.22,0,0,1,1,0,0,0,0,0,0,2,1,0,53.4793099,44.2432
